Date,zscore
2020-03-17,-2.824309559675355
2020-03-18,-3.1904988437769437
2020-03-19,-2.8314445548824394
2020-03-20,-2.615108941018499
2020-03-23,-2.1697506783184113
2020-03-24,-1.2385004236487012
2020-03-25,-1.211761979930486
2020-03-26,-1.1925739562394857
2020-03-27,-1.350373623257302
2020-03-30,-1.5032889719261984
2020-03-31,-1.293235414511867
2020-04-01,-1.0587052104018098
2020-04-02,-1.1408710296472506
2020-04-03,-1.0744648347101209
2020-04-06,-0.5905031375601615
2020-04-07,-0.4193569487103889
2020-04-08,-0.1388700923615939
2020-04-09,-0.10449963763478859
2020-04-13,-0.019772559941795616
2020-04-14,-0.023142779914576788
2020-04-15,-0.23834093003117524
2020-04-16,-0.5438470589710788
2020-04-17,-0.2227096253576082
2020-04-20,-0.19912993014272964
2020-04-21,-0.20328649890164538
2020-04-22,-0.25259480255599326
2020-04-23,-0.30890437083445893
2020-04-24,-0.3548224102959641
2020-04-27,-0.20910958702681956
2020-04-28,0.08118696888068673
2020-04-29,0.4111202326818513
2020-04-30,0.27031981328688215
2020-05-01,0.07178549460750691
2020-05-04,0.22587908040455948
2020-05-05,0.22764816455660847
2020-05-06,0.22904010455606705
2020-05-07,0.11819216312919152
2020-05-08,0.4530913068593841
2020-05-11,0.28655863135519644
2020-05-12,0.1387738709974686
2020-05-13,-0.006041257868870158
2020-05-14,-0.08596924233017954
2020-05-15,-0.15994617643434328
2020-05-18,0.5332260164387425
2020-05-19,0.5669564595907838
2020-05-20,0.8081485205455402
2020-05-21,0.7243256307856716
2020-05-22,0.8818438637850098
2020-05-25,0.9235008929633312
2020-05-26,1.1876556566303516
2020-05-27,1.691174748611229
2020-05-28,1.3304640649985773
2020-05-29,1.1372026326453182
2020-06-01,1.2545672217627746
2020-06-02,1.2457851838063299
2020-06-03,1.50017887786995
2020-06-04,1.8691079077076644
2020-06-05,1.734719515262376
2020-06-08,1.8464866771894142
2020-06-09,1.6848471658849835
2020-06-10,1.2908372164491009
2020-06-11,0.7066454670694089
2020-06-12,1.2945261654451359
2020-06-15,1.5934183149971508
2020-06-16,1.43636742019468
2020-06-17,1.2897754084176098
2020-06-18,1.2443807040106925
2020-06-19,1.3640493912687244
2020-06-22,1.4223919850939881
2020-06-23,1.732887028790021
2020-06-24,1.2904719473442106
2020-06-25,1.7469620060138016
2020-06-26,0.7945543191523757
2020-06-29,0.6926618136204455
2020-06-30,0.573623445333746
2020-07-01,0.2975953222381269
2020-07-02,0.32669152279199815
2020-07-03,0.3115675213194017
2020-07-06,0.6680024123056792
2020-07-07,0.5908632504992958
2020-07-08,-0.011843194852574514
2020-07-09,-0.41001206692218156
2020-07-10,0.016425269471739785
2020-07-13,0.08543117313675037
2020-07-14,1.1396505619459525
2020-07-15,1.407000426718989
2020-07-16,1.7812873878840738
2020-07-17,1.4128693397673993
2020-07-20,1.0783810587844236
2020-07-21,1.0646836781572193
2020-07-22,1.0108333076546843
2020-07-23,0.5709111425695236
2020-07-24,0.5917079552323311
2020-07-27,0.7981258451855274
2020-07-28,0.2061258034322334
2020-07-29,0.3959211832150717
2020-07-30,0.34168187689395607
2020-07-31,0.1336250337491813
2020-08-03,-0.018034029920108014
2020-08-04,-0.5105928914166677
2020-08-05,0.3597375287282676
2020-08-06,0.37717020212603775
2020-08-07,0.2624805524953067
2020-08-10,0.8095591349957272
2020-08-11,0.12190803532913602
2020-08-12,0.26161266147276496
2020-08-13,0.42584207155218556
2020-08-14,1.2798233211961507
2020-08-17,0.6605485979172598
2020-08-18,0.21081969893823743
2020-08-19,0.19870165526648326
2020-08-20,0.1505699046701787
2020-08-21,0.05229658812710559
2020-08-24,0.7833091836424823
2020-08-25,0.5490932857751223
2020-08-26,0.5780773125271904
2020-08-27,0.27613344101315146
2020-08-28,-0.24593181425462998
2020-08-31,-0.8383773934778127
2020-09-01,-0.6731129277123852
2020-09-02,-0.530930581177672
2020-09-03,-0.9184427065147626
2020-09-04,-0.8707089972533514
2020-09-07,-0.8419343471567828
2020-09-08,-1.384740161860918
2020-09-09,-1.0709452441109972
2020-09-10,-1.7043257588184058
