Date,AA,ACH,ALI=F,BHP,CENX,CSTM,FCX,KALU,NEM,NHYDY,PICK,RIO,VALE,XLB,XME
2024-05-10,36.29518127441406,18.6299991607666,2488.25,53.463279724121094,17.139999389648438,20.239999771118164,50.38547897338867,92.40644073486328,41.0035285949707,5.9757819175720215,41.24980545043945,62.15681838989258,10.498941421508789,44.18283462524414,60.972869873046875
2024-05-13,39.26763916015625,18.709999084472656,2493.75,53.45392990112305,17.780000686645508,20.200000762939453,50.82497787475586,93.8109359741211,40.97457504272461,6.052764415740967,41.221656799316406,62.19243240356445,10.608657836914062,44.15396499633789,61.18075942993164
2024-05-14,38.944969177246094,19.780000686645508,2491.5,54.95901870727539,17.290000915527344,20.020000457763672,52.23135757446289,94.10120391845703,41.08073425292969,6.072010517120361,41.7752799987793,62.05886459350586,10.6002197265625,44.197265625,61.81434631347656
2024-05-15,39.15030288696289,20.209999084472656,2533.5,55.40774154663086,17.56999969482422,20.190000534057617,52.35831832885742,94.75663757324219,41.67903518676758,6.100879192352295,41.97233200073242,62.6287841796875,10.6002197265625,44.274234771728516,62.596431732177734
2024-05-16,39.25785827636719,19.110000610351562,2529.0,56.10886764526367,17.219999313354492,20.84000015258789,50.82497787475586,92.34091186523438,41.34128952026367,6.081633567810059,41.9911003112793,64.0357666015625,10.684615135192871,43.956722259521484,62.200443267822266
2024-05-17,40.304080963134766,18.6200008392334,2533.5,57.464378356933594,17.850000381469727,20.700000762939453,52.96384048461914,94.55064392089844,42.20980453491211,6.100879192352295,43.12649917602539,65.54961395263672,10.96312427520752,44.33197021484375,63.35871505737305
2024-05-20,41.686100006103516,18.0,2557.5,57.56721115112305,18.8799991607666,21.489999771118164,53.579132080078125,93.69857788085938,42.88531494140625,6.110501766204834,43.276634216308594,65.35370635986328,10.904047012329102,44.394508361816406,64.2695083618164
2024-05-21,43.215152740478516,17.670000076293945,2651.0,57.61395263671875,18.959999084472656,21.700000762939453,53.05173873901367,94.03564453125,42.499305725097656,6.447300910949707,43.23910140991211,65.43385314941406,10.870287895202637,44.394508361816406,64.4971923828125
2024-05-22,41.31364059448242,17.760000228881836,2568.0,54.90292739868164,17.469999313354492,21.3700008392334,50.03388977050781,89.58809661865234,40.90703582763672,6.158616065979004,41.690826416015625,64.31182098388672,10.676175117492676,43.96152877807617,62.972618103027344
2024-05-23,40.23546600341797,17.280000686645508,2550.25,54.92162322998047,17.6299991607666,21.219999313354492,50.00458908081055,89.36337280273438,39.78761291503906,6.139370441436768,41.29672622680664,63.599422454833984,10.617097854614258,43.57185363769531,62.230140686035156
2024-05-24,40.813758850097656,17.530000686645508,2588.25,55.74427795410156,17.950000762939453,21.649999618530273,50.32687759399414,89.59745788574219,40.51137161254883,6.264467239379883,41.690826416015625,63.982337951660156,10.633977890014648,43.9519157409668,62.69542694091797
2024-05-28,42.342811584472656,17.290000915527344,2654.75,55.71623229980469,18.739999771118164,21.809999465942383,52.37785339355469,91.70419311523438,40.91667556762695,6.48579216003418,41.962947845458984,63.100738525390625,10.431426048278809,43.78353500366211,63.62600326538086
2024-05-29,43.058319091796875,17.3700008392334,2703.5,55.576011657714844,18.81999969482422,21.5,51.53792953491211,91.68546295166016,40.183265686035156,6.3029584884643555,41.00583267211914,61.9163818359375,10.237313270568848,43.15811538696289,62.6063346862793
2024-05-30,43.656219482421875,17.25,2648.0,54.837486267089844,19.219999313354492,21.540000915527344,51.08866882324219,93.15550231933594,40.42452621459961,6.3606953620910645,41.024600982666016,62.10337829589844,10.220434188842773,43.50931167602539,63.269615173339844
2024-05-31,43.391578674316406,17.43000030517578,2591.5,55.650794982910156,18.329999923706055,21.670000076293945,51.49886703491211,91.5731201171875,40.4727668762207,6.5242838859558105,41.409324645996094,62.4239616394043,10.16979694366455,44.033695220947266,63.784420013427734
2024-06-03,43.13673400878906,17.520000457763672,2601.75,55.51057052612305,17.709999084472656,21.979999542236328,50.82497787475586,89.8970718383789,40.42452621459961,6.505038261413574,41.0715217590332,61.818424224853516,9.97568416595459,43.77390670776367,63.64582061767578
2024-06-04,41.17641830444336,17.260000228881836,2599.5,54.28593444824219,16.6299991607666,21.280000686645508,48.539608001708984,86.19857788085938,39.346923828125,6.3029584884643555,39.63584518432617,60.8299674987793,9.739373207092285,43.28801727294922,60.67586898803711
2024-06-05,41.74492263793945,17.5,2558.25,54.80009460449219,16.8799991607666,20.450000762939453,49.311161041259766,85.4869613647461,39.90028381347656,6.139370441436768,39.9830322265625,60.625160217285156,9.629655838012695,43.58628845214844,61.200557708740234
2024-06-06,41.80372619628906,17.670000076293945,2592.75,55.80971908569336,16.68000030517578,19.8700008392334,50.05341720581055,87.3970718383789,41.259422302246094,6.2548441886901855,40.40529251098633,61.62251663208008,9.806890487670898,43.634395599365234,61.86384963989258
2024-06-07,40.09824752807617,17.360000610351562,2507.75,54.39811325073242,15.8100004196167,19.739999771118164,48.11964797973633,85.22478485107422,39.181888580322266,6.072010517120361,39.59830856323242,60.55391311645508,9.579018592834473,43.19660568237305,59.854183197021484
2024-06-10,40.343284606933594,17.1200008392334,2499.5,54.60377883911133,15.789999961853027,20.200000762939453,48.83259582519531,86.2173080444336,40.094444274902344,6.197107315063477,39.720298767089844,60.77653884887695,9.621216773986816,43.15330505371094,59.745296478271484
2024-06-11,39.41213607788086,16.8700008392334,2459.25,53.098690032958984,15.289999961853027,20.420000076293945,48.188011169433594,85.24351501464844,39.46342468261719,6.023896217346191,39.0032844543457,59.823707580566406,9.604338645935059,43.13887405395508,58.636512756347656
2024-06-12,38.92205810546875,16.90999984741211,2496.75,53.650245666503906,15.380000114440918,20.559999465942383,48.0512809753418,86.74166107177734,39.79349899291992,6.139370441436768,38.98429489135742,59.73466110229492,9.384906768798828,43.220664978027344,58.88400650024414
2024-06-13,37.7752799987793,16.700000762939453,2477.0,53.612850189208984,15.350000381469727,20.25,46.869537353515625,85.711669921875,39.37605285644531,6.062387466430664,38.78485870361328,59.5921745300293,9.553699493408203,43.20623016357422,58.19102096557617
2024-06-14,37.14797592163086,16.700000762939453,2440.75,53.12674331665039,15.239999771118164,19.81999969482422,46.986732482910156,83.52066040039062,39.628456115722656,5.908421993255615,38.64241027832031,59.227073669433594,9.50306224822998,42.80693435668945,57.626731872558594
2024-06-17,36.65789794921875,16.979999542236328,2425.5,52.58453369140625,15.460000038146973,20.049999237060547,46.15657424926758,82.6405258178711,39.71583938598633,5.773702621459961,38.471466064453125,58.764015197753906,9.418665885925293,43.12443923950195,57.7158317565918
2024-06-18,36.74611282348633,17.09000015258789,2416.5,52.96781539916992,15.289999961853027,19.940000534057617,46.57653045654297,83.2491455078125,40.570152282714844,5.841062545776367,38.575927734375,59.00444793701172,9.435544967651367,43.07633590698242,57.91382598876953
2024-06-20,38.206546783447266,16.93000030517578,2441.75,53.48197555541992,15.960000038146973,20.059999465942383,48.20754623413086,82.35025787353516,41.56037521362305,5.937290668487549,39.0887565612793,59.5921745300293,9.52838134765625,43.11962890625,58.705810546875
2024-06-21,39.59836959838867,16.969999313354492,2432.25,52.893028259277344,16.510000228881836,20.09000015258789,48.40287780761719,82.98694610595703,41.02642059326172,5.9180450439453125,38.73737716674805,59.129119873046875,9.494623184204102,43.12443923950195,58.46821594238281
2024-06-24,39.755191802978516,16.170000076293945,2423.0,52.9958610534668,16.75,20.3700008392334,49.203731536865234,83.45512390136719,41.35649871826172,6.072010517120361,38.95580291748047,59.173641204833984,9.519941329956055,43.40238571166992,58.394840240478516
